split	run	sample_id	chrom	class	probability	threshold	predicted	truth	margin	true_classes_on_chromosome	fp_context	class_fp_rank	overall_fp_rank
loo	BT474	BT474	chr15	ecDNA	0.7182140946388245	0.5099999904632568	1	0	0.20821410417556763	BFB	wrong class on labeled chromosome	9	32
loo	HCC1954	HCC1954	chr15	ecDNA	0.4202615916728973	0.2300000041723251	1	0	0.19026158750057218		unlabeled chromosome	10	34
loo	BT474	BT474	chr12	ecDNA	0.6969504356384277	0.5099999904632568	1	0	0.1869504451751709		unlabeled chromosome	11	35
loo	SNU778	SNU778	chr11	ecDNA	0.3861810564994812	0.2000000029802322	1	0	0.186181053519249	BFB	wrong class on labeled chromosome	12	36
loo	AU565	AU565	chr17	ecDNA	0.5193411111831665	0.3600000143051147	1	0	0.1593410968780518		unlabeled chromosome	13	39
loo	MDA_MD_361	MDA_MD_361	chr17	ecDNA	0.5489341616630554	0.4000000059604645	1	0	0.14893415570259094	BFB;seismic_amplification	wrong class on labeled chromosome	14	41
loo	CFPAC1	CFPAC1	chr17	ecDNA	0.5008316040039062	0.3600000143051147	1	0	0.14083158969879156	BFB	wrong class on labeled chromosome	15	42
loo	AU565	AU565	chr8	ecDNA	0.4751804769039154	0.3600000143051147	1	0	0.11518046259880071	BFB;seismic_amplification	wrong class on labeled chromosome	16	49
loo	SKBR3	SKBR3	chr7	ecDNA	0.4451304376125335	0.3300000131130218	1	0	0.11513042449951172	BFB	wrong class on labeled chromosome	17	50
loo	HCC1954	HCC1954	chr20	ecDNA	0.3373246192932129	0.2300000041723251	1	0	0.10732461512088778		unlabeled chromosome	18	56
loo	SCC154	SCC154	chr11	ecDNA	0.4808535873889923	0.3899999856948852	1	0	0.09085360169410711	BFB	wrong class on labeled chromosome	19	60
loo	AU565	AU565	chr6	ecDNA	0.4483210146427154	0.3600000143051147	1	0	0.08832100033760071		unlabeled chromosome	20	63
loo	BT474	BT474	chr14	ecDNA	0.586239218711853	0.5099999904632568	1	0	0.07623922824859619		unlabeled chromosome	21	68
loo	SUIT	SUIT	chr8	ecDNA	0.5210418701171875	0.4600000083446502	1	0	0.06104186177253729	BFB	wrong class on labeled chromosome	22	78
loo	ZR7530	ZR7530	chr8	ecDNA	0.3992769122123718	0.3499999940395355	1	0	0.049276918172836304	seismic_amplification	wrong class on labeled chromosome	23	83
loo	SNU1299	SNU1299	chr20	ecDNA	0.5176206231117249	0.4699999988079071	1	0	0.04762062430381775	BFB	wrong class on labeled chromosome	24	86
loo	BT474	BT474	chr17	ecDNA	0.5531846284866333	0.5099999904632568	1	0	0.043184638023376465	BFB	wrong class on labeled chromosome	25	88
loo	BT474	BT474	chr9	ecDNA	0.5530234575271606	0.5099999904632568	1	0	0.04302346706390381	BFB	wrong class on labeled chromosome	26	89
loo	SNU703	SNU703	chr12	ecDNA	0.1516082137823104	0.1099999994039535	1	0	0.041608214378356906	BFB	wrong class on labeled chromosome	27	90
loo	SKBR3	SKBR3	chr6	ecDNA	0.3684970140457153	0.3300000131130218	1	0	0.03849700093269348		unlabeled chromosome	28	93
loo	SNU17	SNU17	chr20	ecDNA	0.4624963104724884	0.4300000071525574	1	0	0.03249630331993103		unlabeled chromosome	29	95
loo	CERV196	CERV196	chr11	ecDNA	0.3339594006538391	0.3100000023841858	1	0	0.02395939826965332		unlabeled chromosome	30	98
loo	BT474	BT474	chr20	ecDNA	0.5306877493858337	0.5099999904632568	1	0	0.020687758922576904	BFB	wrong class on labeled chromosome	31	101
loo	HCC1954	HCC1954	chr11	ecDNA	0.246523767709732	0.2300000041723251	1	0	0.016523763537406894		unlabeled chromosome	32	105
loo	ZR7530	ZR7530	chr17	ecDNA	0.3626385927200317	0.3499999940395355	1	0	0.01263859868049616	seismic_amplification	wrong class on labeled chromosome	33	109
loo	HCC1954	HCC1954	chr9	ecDNA	0.2331354320049286	0.2300000041723251	1	0	0.0031354278326034823	chromothripsis;seismic_amplification	wrong class on labeled chromosome	34	113
loo	HCC1954	HCC1954	chr8	ecDNA	0.2318368852138519	0.2300000041723251	1	0	0.0018368810415267944	seismic_amplification	wrong class on labeled chromosome	35	114
loo	AU565	AU565	chr5	seismic_amplification	0.8156635761260986	0.3300000131130218	1	0	0.48566356301307684		unlabeled chromosome	1	4
loo	AU565	AU565	chr14	seismic_amplification	0.6871411204338074	0.3300000131130218	1	0	0.3571411073207856		unlabeled chromosome	2	10
loo	AU565	AU565	chr3	seismic_amplification	0.6787183284759521	0.3300000131130218	1	0	0.34871831536293035		unlabeled chromosome	3	12
loo	AU565	AU565	chrX	seismic_amplification	0.5830588340759277	0.3300000131130218	1	0	0.25305882096290594		unlabeled chromosome	4	21
loo	AU565	AU565	chr6	seismic_amplification	0.4707458317279815	0.3300000131130218	1	0	0.14074581861495972		unlabeled chromosome	5	43
loo	SKBR3	SKBR3	chr5	seismic_amplification	0.8959898948669434	0.7699999809265137	1	0	0.1259899139404297		unlabeled chromosome	6	47
loo	AU565	AU565	chr17	seismic_amplification	0.4378196895122528	0.3300000131130218	1	0	0.10781967639923101		unlabeled chromosome	7	55
loo	HOS	HOS	chr11	seismic_amplification	0.9057260155677797	0.8399999737739563	1	0	0.06572604179382335		unlabeled chromosome	8	74
loo	SKBR3	SKBR3	chr3	seismic_amplification	0.8292185664176941	0.7699999809265137	1	0	0.05921858549118042	BFB	wrong class on labeled chromosome	9	79
loo	MDA_MD_453	MDA_MD_453	chr11	seismic_amplification	0.8257091641426086	0.800000011920929	1	0	0.025709152221679688	chromothripsis	wrong class on labeled chromosome	10	97
